GPS Time,id,Latitude,Longitude,Altitude,GPS Precision,# Satellites,ED RSSI,GW RSSI
18:49:57,0,-21.7769345833333,-43.37242105,930.5,1,14,-85,-94
18:49:57,1,-21.7769345833333,-43.37242105,930.5,1,14,-93,-93
18:50:05,2,-21.7769344166667,-43.37242065,930.5,1,14,-99,-97
18:50:13,3,-21.77694045,-43.3724169333333,931.3,1,14,-99,-93
18:50:22,4,-21.7768630833333,-43.3724505166667,932.5,1,14,-97,-97
18:50:30,5,-21.7767630833333,-43.3724200333333,932,1,14,-100,-96
18:50:38,6,-21.7766520833333,-43.372391,933,1,13,-96,-103
18:50:46,7,-21.7765585666667,-43.3724300166667,933,1,13,-92,-85
18:50:54,8,-21.7764963666667,-43.3725161166667,932.3,1,14,-95,-96
18:51:02,9,-21.7764907833333,-43.3726300333333,933,1,14,-96,-88
18:51:10,10,-21.7765145833333,-43.37273885,932.2,1,14,-102,-95
18:51:18,11,-21.7765603833333,-43.3728341666667,931.2,1,14,-100,-101
18:51:26,12,-21.7766110166667,-43.3729196333333,930.7,1,14,-101,-108
18:51:35,13,-21.7766810666667,-43.3729985333333,931.3,1,14,-102,-95
18:51:43,14,-21.7767498833333,-43.37306805,931.4,1,14,-99,-98
18:51:51,15,-21.7767618333333,-43.3731812333333,932.4,1,14,-98,-101
18:51:59,16,-21.7768324666667,-43.3732604333333,933.6,1,14,-97,-94
18:52:07,17,-21.7769088166667,-43.373333,934.7,1,14,-101,-100
18:52:15,18,-21.7769855,-43.3734024,935.4,1,14,-100,-101
18:52:23,19,-21.7770619666667,-43.3734748166667,935.8,1,14,-94,-99
18:52:31,20,-21.7771377166667,-43.37354105,936.1,1,14,-98,-94
18:52:39,21,-21.7772152833333,-43.3736113333333,936.8,1,14,-99,-97
18:52:48,22,-21.7772985666667,-43.3736870666667,938,1,14,-99,-94
18:52:56,23,-21.7773739166667,-43.3737560666667,938.5,1,14,-95,-89
18:53:04,24,-21.7774496666667,-43.3738202333333,939.7,1,14,-92,-93
18:53:12,25,-21.77752555,-43.3738805166667,939.8,1,15,-89,-85
18:53:20,26,-21.7775934666667,-43.37394895,941.4,1,15,-89,-79
18:53:28,27,-21.7776731833333,-43.3740148666667,941.6,1,15,-87,-88
18:53:36,28,-21.7777481333333,-43.3740866833333,942.6,1,15,-90,-84
18:53:44,29,-21.7778304833333,-43.3741572333333,944.3,1,15,-80,-84
18:53:53,30,-21.7779272333333,-43.3742497333333,943.5,1,15,-93,-77
18:54:01,31,-21.7780111666667,-43.3743430833333,941.6,1,15,-88,-78
18:54:09,32,-21.77809595,-43.3744200333333,941.8,1,15,-92,-84
18:54:17,33,-21.7781746166667,-43.3744944166667,941.7,1,15,-92,-90
18:54:25,34,-21.7782518666667,-43.3745685833333,941.2,1,15,-95,-90
18:54:33,35,-21.7783285333333,-43.3746414,941.2,1,15,-87,-83
